"NE Name","Slot ID","Board Name","Port","Input Power(dBm)","Reference Input Power(dBm)","Input Power Reference Value Time","Input Power State","Reference Input Power Lower Threshold(dBm)","Reference Input Power Upper Threshold(dBm)","Input Power Lower Threshold(dBm)","Min. Value of Input Power Lower Threshold(dBm)","Max. Value of Input Power Lower Threshold(dBm)","Input Power Upper Threshold(dBm)","Min. Value of Input Power Upper Threshold(dBm)","Max. Value of Input Power Upper Threshold(dBm)","Max. Pump Output Power(dBm)","Min. Pump Output Power(dBm)","Output Power(dBm)","Reference Output Power(dBm)","Output Power Reference Value Time","Output Power State","Output Power Lower Threshold(dBm)","Output Power Upper Threshold(dBm)","Reference Output Power Lower Threshold(dBm)","Reference Output Power Upper Threshold(dBm)","Input Power Lower Threshold Default Value(dBm)","Input Power Upper Threshold Default Value(dBm)","CFP/LANE Input Power Lower Threshold Default Value(dBm)","CFP/LANE Input Power Upper Threshold Default Value(dBm)"
RGUA-WDM-RS02 ETN,Shelf0(subrack)-23,G1A212,3(IN3/OUT3 PA2 PE RAN ALTO COLORADO P1 CORE RANCAGUA TE 0/0/0/14),"	-7.0",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.6",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-23,G1A212,4(IN4/OUT4),"	-60.0",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.7",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-23,G1A212,5(IN5/OUT5 1800 A REQUINOA),"	-6.7",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.2",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-23,G1A212,6(IN6/OUT6),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-23,G1A212,7(IN7/OUT7 RESERVADO PA OLT SAN FERNANDO),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-23,G1A212,8(IN8/OUT8 RESERVADO PA OLT MELIPILLA),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-23,G1A212,9(IN9/OUT9),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-23,G1A212,10(IN10/OUT10),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-23,G1A212,11(IN11/OUT11),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
RGUA-WDM-RS02 ETN,Shelf0(subrack)-23,G1A212,12(IN12/OUT12),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
